config,op,cuda_time_us,pct_total,count
baseline,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8::Params),906.9,20.65,10
baseline,ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn,587.3,13.38,87
baseline,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_tn,399.4,9.1,255
baseline,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize160x128x32_stage4_warpsize2x2x1_tensor16x8x16_kernel,392.0,8.93,6
baseline,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_tn_align8::Params),214.2,4.88,262
baseline,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_tn,210.0,4.78,25
baseline,ampere_fp16_s16816gemm_fp16_256x64_ldg8_f2f_stages_64x3_tn,142.9,3.26,38
baseline,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn,125.7,2.86,28
baseline,ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_64x4_tn,116.4,2.65,12
baseline,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,111.9,2.55,4
baseline,"void at::native::(anonymous namespace)::indexSelectLargeIndex<c10::Half, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<c10::Half const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",109.5,2.49,1
baseline,"void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<128, 128, 64, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<128, 128, 64, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)",103.7,2.36,32
baseline,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_tn,100.3,2.28,7
baseline,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_tn,99.7,2.27,53
baseline,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,94.1,2.14,26
